,Make,Model
14423,CESSNA,172
14424,CESSNA,172N
14425,CESSNA,182P
14428,BEECH,58
14429,CESSNA,310R
14431,BOEING,737-301
14433,PIPER,PA-32R-300
14434,PIPER,PA46-350P
14435,PIPER,PA-24-260
14436,CESSNA,425
14439,STINSON,108
14440,PIPER,PA-18-150
14441,AEROSTAR S A,YAK-52
14442,CESSNA,150F
14443,NORTH AMERICAN,B25
14445,CESSNA,172N
14447,HILLER,UH-12E
14449,PIPER,PA-20
14450,MOONEY,M20J
14451,BOEING,A75N1(PT17)
14453,CESSNA,A185F
14454,ROLLADEN-SCHNEIDER GMBH,LS-3
14458,CESSNA,172M
14459,Dassault-Breguet,Falcon 10
14460,Cub Crafters,CC11-160
14461,ROBINSON,R22
14462,AIRBUS,F4-622R
14463,CESSNA,414A
14464,CESSNA,172N
14466,CESSNA,P210
14467,CESSNA,182C
14468,CESSNA,150H
14469,SCHWEIZER,269C-1
14470,GLASFLUGEL,STANDARD LIBELLE
14471,CESSNA,150D
14472,BEECH,G35
14473,CIRRUS,SR22
14474,CESSNA,TU206G
14475,CESSNA,T310R
14477,Remos,GX
14479,PIPER,PA-18A 150
14480,PIPER,PA-32R-300
14482,PIPER,PA-28-140
14483,LUSCOMBE,8E
14486,CESSNA,150M
14487,CESSNA,305A
14488,PIPER,PA-18A 150
14489,CESSNA,A185F
14490,COSTRUZIONI AERONAUTICHE TECNA,P2004 BRAVO
14491,EMBRAER,EMB-145XR
14492,ROBINSON,R44
14493,BOMBARDIER INC,DHC 8 402
14494,MAULE,M-4-220C
14495,BELL,230
14496,HILLER,UH-12D
14497,BEECH,200
14499,PIPER,PA-22-150
14500,CHAMPION,7GCBC
14501,ROTORWAY,A600
14502,BELLANCA,14-13-2
14503,CESSNA,182P
14504,PIPER,PA28
14505,CESSNA,140
14507,CESSNA,414
14509,AMS-FLIGHT D.O.O.,DG-500 ELAN ORION
14510,SIKORSKY,S-58ET
14512,CESSNA,182T
14513,PIPER,PA-28-161
14515,WACO,UPF-7
14516,ROBINSON HELICOPTER,R22 BETA II
14519,CESSNA,310R
14520,CESSNA,182P
14521,LANCAIR,LC41-550FG
14522,AYRES CORPORATION,S2R-T34
14523,PIPER,PA-28R-200
14524,FAIRCHILD,SA227-AC
14525,CESSNA,208B
14526,CESSNA,180
14527,AERONCA,7EC
14531,DOUGLAS,AD-4N
14532,DEHAVILLAND,DHC-6-100
14533,FLIGHT DESIGN,CTSW
14535,HUGHES,369D
14537,DIAMOND,DA-40
14538,PIPER,PA-22-108
14539,CESSNA,A185F
14541,CESSNA,210
14542,CESSNA,172K
14543,ROBINSON HELICOPTER COMPANY,R44 II
14545,CESSNA,172R
14548,BEECH,C23
14550,LEARJET,25
14551,AERONCA,7AC
14553,CESSNA,172L
